location;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
European Union (mean);92,49;95,35;97,87;99,35;99,90;100,00;100,25;101,96;103,89;105,42
Belgium;92,09;95,18;97,68;98,90;99,38;100,00;101,77;104,03;106,44;107,77
Bulgaria;96,66;99,94;102,33;102,72;101,08;100,00;98,68;99,85;102,48;104,99
Czechia;92,60;94,60;98,00;99,30;99,80;100,00;100,70;103,10;105,10;107,80
Denmark;94,10;96,60;98,90;99,40;99,80;100,00;100,00;101,10;101,80;102,50
Germany ;92,70;95,00;97,00;98,60;99,30;100,00;100,40;102,10;104,00;105,50
Estonia;87,96;92,43;96,33;99,46;99,93;100,00;100,80;104,48;108,05;110,50
Ireland;96,20;97,40;99,20;99,70;100,00;100,00;99,80;100,10;100,80;101,70
Greece;99,27;102,36;103,42;102,54;101,11;100,00;100,02;101,15;101,94;102,46
Spain;94,08;96,94;99,31;100,83;100,63;100,00;99,66;101,69;103,46;104,26
France;94,05;96,20;98,33;99,31;99,91;100,00;100,31;101,47;103,60;104,95
Croatia;92,55;94,59;97,76;100,04;100,26;100,00;99,37;100,67;102,23;103,04
Italy;92,60;95,30;98,40;99,70;99,90;100,00;99,90;101,30;102,50;103,20
Cyprus;95,09;98,40;101,45;101,84;101,57;100,00;98,78;99,45;100,23;100,78
Latvia;92,96;96,88;99,09;99,11;99,79;100,00;100,10;103,00;105,63;108,53
Lithuania;92,43;96,24;99,28;100,44;100,68;100,00;100,68;104,42;107,07;109,47
Luxembourg;91,44;94,85;97,59;99,25;99,94;100,00;100,04;102,15;104,21;105,93
Hungary;89,47;92,98;98,24;99,92;99,94;100,00;100,45;102,84;105,84;109,46
Malta;91,79;94,10;97,13;98,08;98,84;100,00;100,90;102,18;103,95;105,54
Netherlands;92,05;94,32;96,99;99,47;99,79;100,00;100,11;101,40;103,02;105,78
Austria;90,14;93,35;95,75;97,77;99,20;100,00;100,97;103,22;105,41;106,98
Poland;92,70;96,30;99,80;100,60;100,70;100,00;99,80;101,40;102,60;104,80
Portugal;93,22;96,54;99,22;99,65;99,50;100,00;100,64;102,20;103,40;103,71
Romania;87,73;92,84;95,98;99,04;100,41;100,00;98,93;100,00;104,08;108,15
Slovenia;93,86;95,81;98,50;100,40;100,77;100,00;99,85;101,40;103,36;105,11
Slovakia;91,69;95,43;99,00;100,45;100,35;100,00;99,52;100,90;103,46;106,33
Finland;90,83;93,85;96,81;98,96;100,16;100,00;100,39;101,23;102,42;103,58
Sweden;96,43;97,75;98,66;99,10;99,30;100,00;101,14;103,02;105,12;106,93
United Kingdom;89,40;93,40;96,10;98,50;100,00;100,00;100,70;103,40;105,90;107,80
Iceland;85,85;89,46;94,84;98,76;99,74;100,00;100,79;99,13;99,86;101,83
Norway;92,80;94,00;94,30;96,20;98,00;100,00;103,90;105,80;109,00;111,50
Switzerland;101,39;101,49;100,76;100,83;100,84;100,00;99,47;100,11;101,03;101,41
North Macedonia;92,57;95,52;97,26;99,91;99,87;100,00;100,24;102,35;104,66;105,42
Serbia;74,90;83,30;89,40;96,30;98,50;100,00;101,30;104,70;106,80;108,80
Turkey;68,37;72,79;79,31;85,22;92,81;100,00;107,66;119,63;139,17;160,30
United States;92,56;96,16;98,23;99,48;100,81;100,00;100,55;102,29;104,52;105,92
